,Mark,Model,Year,Type,Distance,Engine_capacity_cm3,Fuel_type,Transmission,Price(euro)
0,Toyota,Prius,2011,Hatchback,195000,1800,Hybrid,2,7750
1,Renault,Grand Scenic,2014,Universal,135000,1500,Diesel,1,8550
2,Volkswagen,Golf,1998,Hatchback,1,1400,Petrol,1,2200
3,Renault,Laguna,2012,Universal,110000,1500,Diesel,1,6550
4,Opel,Astra,2006,Universal,200000,1600,Metan/Propan,1,4100
5,Mercedes,Vito,2000,Microvan,300000,2200,Diesel,1,3490
6,Volkswagen,Passat,2010,Universal,290000,1390,Petrol,1,5600
7,Volkswagen,Touareg,2010,SUV,220000,2400,Diesel,2,17000
8,Mercedes,Series (W124),1991,Sedan,240000,2300,Petrol,1,2850
10,Mercedes,E Class,2010,Sedan,210000,2200,Diesel,2,11400
12,KIA,Rio,2005,Universal,23,1300,Petrol,1,1550
14,Volkswagen,Golf,2007,Universal,238371,1400,Petrol,2,5000
15,Volkswagen,Golf Plus,2010,Hatchback,150000,1200,Petrol,1,5500
16,Volvo,XC60,2012,Crossover,180000,2400,Diesel,2,15900
17,Nissan,Qashqai,2011,Crossover,251000,1500,Diesel,1,8300
18,Hyundai,Matrix,2005,Universal,383000,1500,Diesel,1,3200
19,Audi,A3,2009,Hatchback,248000,2000,Diesel,2,9299
20,Mercedes,E Class,2004,Universal,315000,1800,Metan/Propan,1,6900
21,GAZ,31029,1992,Sedan,68000,2445,Petrol,1,2222
22,Renault,Megane,2011,Universal,171000,1500,Diesel,1,5700
24,Mercedes,E Class,2014,Sedan,275500,2200,Diesel,2,18350
25,Lincoln,MKZ,2017,Sedan,157000,1998,Hybrid,2,17800
27,Dodge,Caliber,2008,Hatchback,113486,1998,Metan/Propan,2,4495
28,Mercedes,A Class,2000,Hatchback,1,1400,Petrol,1,2100
29,Audi,100,1993,Sedan,235000,2000,Petrol,1,2950
32,Volkswagen,Passat,2012,Sedan,179000,1400,Metan/Propan,2,9800
33,BMW,X1,2015,Crossover,169777,2000,Diesel,2,16888
35,Opel,Vectra,1994,Sedan,340000,1800,Petrol,1,1500
37,Mercedes,E Class,2013,Universal,300,2200,Diesel,2,11000
39,Toyota,Carina,1996,Sedan,0,1800,Petrol,1,1800
40,Volkswagen,Passat,2010,Universal,228000,1400,Metan/Propan,2,5700
41,Toyota,Auris,2010,Sedan,185000,1400,Diesel,1,6500
42,Nissan,Qashqai,2009,Hatchback,200415,1500,Diesel,1,6200
43,BMW,3 Series,2016,Minivan,136000,2000,Diesel,2,13200
46,Dacia,Logan,2014,Sedan,195000,1200,Metan/Propan,1,3999
