Mark_0,Mark_1,Mark_2,Mark_3,Mark_4,Mark_5,Mark_6,Model_0,Model_1,Model_2,Model_3,Model_4,Model_5,Model_6,Model_7,Model_8,Model_9,Year,Type_0,Type_1,Type_2,Type_3,Distance,Engine_capacity_cm3,Fuel_type_0,Fuel_type_1,Fuel_type_2,Transmission,Price(euro)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2011,0,0,0,1,195000,1800,0,0,1,2,7750
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2014,0,0,1,0,135000,1500,0,1,0,1,8550
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1998,0,0,0,1,1,1400,0,1,1,1,2200
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2012,0,0,1,0,110000,1500,0,1,0,1,6550
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2006,0,0,1,0,200000,1600,1,0,0,1,4100
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,2000,0,0,1,1,300000,2200,0,1,0,1,3490
0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,2010,0,0,1,0,290000,1390,0,1,1,1,5600
0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2010,0,1,0,0,220000,2400,0,1,0,2,17000
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1991,0,1,0,1,240000,2300,0,1,1,1,2850
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,2010,0,1,0,1,210000,2200,0,1,0,2,11400
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,2005,0,0,1,0,23,1300,0,1,1,1,1550
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2007,0,0,1,0,238371,1400,0,1,1,2,5000
0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,2010,0,0,0,1,150000,1200,0,1,1,1,5500
0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,2012,0,1,1,0,180000,2400,0,1,0,2,15900
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,2011,0,1,1,0,251000,1500,0,1,0,1,8300
0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,2005,0,0,1,0,383000,1500,0,1,0,1,3200
0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2009,0,0,0,1,248000,2000,0,1,0,2,9299
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,2004,0,0,1,0,315000,1800,1,0,0,1,6900
0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1992,0,1,0,1,68000,2445,0,1,1,1,2222
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2011,0,0,1,0,171000,1500,0,1,0,1,5700
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,2014,0,1,0,1,275500,2200,0,1,0,2,18350
0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,2017,0,1,0,1,157000,1998,0,0,1,2,17800
0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,2008,0,0,0,1,113486,1998,1,0,0,2,4495
0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,2000,0,0,0,1,1,1400,0,1,1,1,2100
0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1993,0,1,0,1,235000,2000,0,1,1,1,2950
0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,2012,0,1,0,1,179000,1400,1,0,0,2,9800
0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,2015,0,1,1,0,169777,2000,0,1,0,2,16888
0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1994,0,1,0,1,340000,1800,0,1,1,1,1500
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,2013,0,0,1,0,300,2200,0,1,0,2,11000
0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1996,0,1,0,1,0,1800,0,1,1,1,1800
0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,2010,0,0,1,0,228000,1400,1,0,0,2,5700
0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,2010,0,1,0,1,185000,1400,0,1,0,1,6500
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,2009,0,0,0,1,200415,1500,0,1,0,1,6200
0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,2016,0,1,1,1,136000,2000,0,1,0,2,13200
0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,2014,0,1,0,1,195000,1200,1,0,0,1,3999
0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,2015,0,1,0,0,170000,1500,0,1,0,1,8800
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2010,0,0,1,0,191500,1400,0,1,1,1,5700
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1999,0,1,1,1,1,2300,0,1,0,1,4150
0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,2013,0,1,1,1,1,1200,0,1,1,1,7599
